制造	manufacturing	[ˌmænjʊˈfæktʃərɪŋ]	n.	制造
边际	marginal	[ˈmɑːdʒɪnl]	adj.	边际
单元	unit	[ˈjuːnɪt]	n.	单元
热辐射	radiation	[ˌreɪdiˈeɪʃn]	n.	辐射
战争	warfare	[ˈwɔːfeə]	n.	战争
级联	cascade	[kæˈskeɪd]	n.	级联
文明	civilization	[ˌsɪvəlaɪˈzeɪʃn]	n.	文明
智慧	wisdom	[ˈwɪzdəm]	n.	智慧
银河系	galaxy	[ˈɡæləksi]	n.	银河系
生命	life	[laɪf]	n.	生命
基础设施	infrastructure	[ˈɪnfrəstrʌktʃə]	n.	基础设施
创业者	entrepreneur	[ˌɒntrəprəˈnɜː]	n.	创业者
资深	senior	[ˈsiːniə]	adj.	资深
主持人	host	[həʊst]	n.	主持
访谈	interview	[ˈɪntəvjuː]	n.	访谈
规模化	scaling	[ˈskeɪlɪŋ]	n.	规模化
贵	expensive	[ɪkˈspensɪv]	adj.	昂贵
优质	premium	[ˈpriːmiəm]	adj.	优质
临界点	threshold	[ˈθreʃhəʊld]	n.	临界
经济	economic	[ˌiːkəˈnɒmɪk]	adj.	经济
资本开支	capex	[ˈkeɪpeks]	n.	资本开支
部署	deployment	[dɪˈplɔɪmənt]	n.	部署
荣幸	honored	[ˈɒnəd]	adj.	荣幸
创始人	founder	[ˈfaʊndə]	n.	创始人
卫星	satellite	[ˈsætəlaɪt]	n.	卫星
问候	greeting	[ˈɡriːtɪŋ]	n.	问候
诗意	poetic	[pəʊˈetɪk]	adj.	诗意
成就	achievement	[əˈtʃiːvmənt]	n.	成就
探讨	discuss	[dɪˈskʌs]	v.	探讨
数据中心	datacenter	[ˈdeɪtəsentə]	n.	数据中心
航天	aerospace	[ˈeərəʊspeɪs]	n.	航天
机构	agency	[ˈeɪdʒənsi]	n.	机构
发射	launch	[lɔːntʃ]	n.	发射
运载火箭	launcher	[ˈlɔːntʃə]	n.	运载火箭
震撼	stunning	[ˈstʌnɪŋ]	adj.	震撼
天壤之别	chasm	[ˈkæzəm]	n.	天壤之别
变革	transformation	[ˌtrænsfəˈmeɪʃn]	n.	变革
模式	model	[ˈmɒdl]	n.	模式
联合创始人	cofounder	[kəʊˈfaʊndə]	n.	联合创始人
太阳能	solar	[ˈsəʊlə]	adj.	太阳能
设想	concept	[ˈkɒnsept]	n.	设想
损耗	loss	[lɒs]	n.	损耗
传输	transmission	[trænzˈmɪʃn]	n.	传输
间接	indirect	[ˌɪndɪˈrekt]	adj.	间接
白皮书	whitepaper	[ˈwaɪtpeɪpə]	n.	白皮书
关键	key	[kiː]	adj.	关键
可行	feasible	[ˈfiːzəbl]	adj.	可行
刚性	rigid	[ˈrɪdʒɪd]	adj.	刚性
约束	constraint	[kənˈstreɪnt]	n.	约束
审批	approval	[əˈpruːvl]	n.	审批
兆瓦	megawatt	[ˈmeɡəwɒt]	n.	兆瓦
覆盖	cover	[ˈkʌvə]	v.	覆盖
反对	opposition	[ˌɒpəˈzɪʃn]	n.	反对
极度	extreme	[ɪkˈstriːm]	adj.	极度
监管	regulatory	[ˈreɡjələtri]	adj.	监管
瓶颈	bottleneck	[ˈbɒtlnek]	n.	瓶颈
盈亏	breakeven	[breɪkˈiːvn]	adj.	盈亏平衡
飞速	rapid	[ˈræpɪd]	adj.	飞速
承担	bear	[beə]	v.	承担
储能	storage	[ˈstɔːrɪdʒ]	n.	储能
备用	backup	[ˈbækʌp]	n.	备用
不间断	continuous	[kənˈtɪnjuəs]	adj.	不间断
日照	sunlight	[ˈsʌnlaɪt]	n.	日照
产能	capacity	[kəˈpæsəti]	n.	产能
运维	operations	[ˌɒpəˈreɪʃnz]	n.	运维
冗余	redundancy	[rɪˈdʌndənsi]	n.	冗余
机器人	robot	[ˈrəʊbɒt]	n.	机器人
超额	excess	[ˈekses]	n.	超额
率	rate	[reɪt]	n.	率
可靠性	reliability	[rɪˌlaɪəˈbɪləti]	n.	可靠性
散热	thermal	[ˈθɜːml]	adj.	散热
粒子	particle	[ˈpɑːtɪkl]	n.	粒子
加速器	accelerator	[əkˈseləreɪtə]	n.	加速器
质子	proton	[ˈprəʊtɒn]	n.	质子
辐射	radiation	[ˌreɪdiˈeɪʃn]	n.	辐射
干扰	interference	[ˌɪntəˈfɪərəns]	n.	干扰
选型	selection	[sɪˈlekʃn]	n.	选型
轨道	orbit	[ˈɔːbɪt]	n.	轨道
固态	solid	[ˈsɒlɪd]	adj.	固态
鲁棒性	robustness	rəʊˈbʌstnəs	n.	鲁棒性
容错	tolerance	[ˈtɒlərəns]	n.	容错
翻转	flip	[flɪp]	n.	翻转
真空	vacuum	[ˈvækjuəm]	n.	真空
绝热	insulation	[ˌɪnsjuˈleɪʃn]	n.	绝热
指数	exponential	[ˌekspəˈnenʃl]	adj.	指数
巨幅	dramatic	[drəˈmætɪk]	adj.	巨幅
辐射器	radiator	[ˈreɪdieɪtə]	n.	辐射器
热泵	heatpump	[ˈhiːtpʌmp]	n.	热泵
相变	phase	[feɪz]	n.	相变
验证	verification	[ˌverɪfɪˈkeɪʃn]	n.	验证
展开	expand	[ɪkˈspænd]	v.	展开
液冷	liquid	[ˈlɪkwɪd]	adj.	液冷
千瓦	kilowatt	[ˈkɪləwɒt]	n.	千瓦
搭载	payload	[ˈpeɪləʊd]	n.	搭载
吉瓦	gigawatt	[ˈɡɪɡəwɒt]	n.	吉瓦
推理	inference	[ˈɪnfərəns]	n.	推理
延迟	latency	[ˈleɪtənsi]	n.	延迟
毫秒	millisecond	[ˈmɪlisekənd]	n.	毫秒
